자치구,법정동,주거점수,교통점수,치안점수,생활점수_x,보증금(만원),임대료(만원),건축년도,공급건수,전월세평균,가격점수,안정성점수,공급점수,노후도점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,살인,강도,강간·강제추행,절도,폭력,CCTV,CCTV밀도(대/㎢),가로등수,가로등밀도(개/㎢),위도(법정동),경도(법정동),근처버스정류장수
성동구,금호동4가,0.52602213,0.678844645,0.740244738,0.432791358,46748.87483,69.06523769,2005.544082,711,46817.94007,50.55795345,66.77604561,4.208345664,88.91183512,옥수,0.749401748,15,46.91429396,105,546,8,2,2,119,893,1007,4638,371.932638,1590,127.506014,37.5454659,127.0243014,29
성북구,하월곡동,0.720752289,0.753569523,0.731130047,0.539094027,20685.80229,34.28472037,2005.508987,1397,20720.08701,78.31719724,91.64509219,8.268718556,88.9820268,월곡,0.359865073,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.60468164,127.0393567,24
성북구,삼선동3가,0.728524816,0.712201736,0.731130047,0.539094027,18271.79278,28.55286398,2003.3517,143.6666667,18300.34565,80.89097947,91.42474625,0.850350202,93.2966004,보문,0.574402601,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58654323,127.0130663,28
성북구,삼선동1가,0.792221263,0.683552653,0.731130047,0.539094027,6759.780249,33.07333523,1993.438275,229,6792.853585,93.13103911,77.42387255,1.355430601,113.1234509,한성대입구,0.397784265,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58491319,127.0078933,20
성북구,길음동,0.586255054,0.675867023,0.731130047,0.539094027,34958.32293,34.61077996,2009.804806,2518,34992.93371,63.13574035,63.81752162,14.9038177,80.39038811,길음,0.574750897,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.60859158,127.0221422,19
성북구,석관동,0.66236644,0.63779036,0.731130047,0.539094027,16611.53613,23.32609198,2005.985012,1473,16634.86222,82.66248767,51.96560246,8.718555786,88.02997506,돌곶이,0.512341641,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.60826586,127.0614813,18
성북구,성북동,0.676623032,0.382806405,0.731130047,0.539094027,19013.58522,25.21532741,2001.967004,451.3333333,19038.80055,80.10551449,63.99468524,2.671401795,96.06599114,한성대입구,1.569003117,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.5972449,126.9929124,21
성북구,돈암동,0.620475978,0.67652486,0.731130047,0.539094027,31945.66233,29.18192596,2001.371364,1199.333333,31974.84426,66.34596154,66.10607079,7.098747164,97.25727192,성신여대입구,0.562486079,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59779437,127.0182787,25
성북구,장위동,0.657519366,0.578450128,0.731130047,0.539094027,19065.80122,22.01693736,2008.905458,2579,19087.81816,80.05337642,55.53577595,15.26487126,82.18908309,돌곶이,0.775550407,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.61521893,127.0499155,34
성북구,안암동4가,0.751481533,0.724369957,0.731130047,0.539094027,6329.751697,30.20682655,1999.485534,49,6359.958523,93.59149229,65.77281626,0.290026635,101.0289327,신설동,0.5073386,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58068796,127.0246665,10
